huspacy lemma == huspacy em_lemma == emagyar lemma,huspacy lemma,huspacy em_lemma,emagyar lemma,huspacy token,emagyar token
False,|lesz|,|None|,|lesz|,|lenni|,|lenni|
False,|lesz|,|None|,|lesz|,|lesz|,|lesz|
True,|lesz|,|lesz|,|lesz|,|lesz|,|lesz|
False,|lesz|,|None|,|lesz|,|lett|,|lett|
False,|lesz|,|None|,|lesz|,|lett|,|lett|
True,|lesz|,|lesz|,|lesz|,|legyenek|,|legyenek|
False,|lesz|,|None|,|lesz|,|lennének|,|lennének|
False,|lesz|,|None|,|lesz|,|leszek|,|leszek|
False,|lesz|,|None|,|lesz|,|leszek|,|leszek|
False,|lesz|,|None|,|lesz|,|lennénk|,|lennénk|
False,|lesz|,|None|,|lesz|,|lenne|,|lenne|
False,|lesz|,|None|,|lesz|,|lenne|,|lenne|
False,|lesz|,|None|,|lesz|,|lesz|,|lesz|
False,|lesz|,|None|,|lesz|,|lenne|,|lenne|
True,|lesz|,|lesz|,|lesz|,|legyenek|,|legyenek|
False,|lesz|,|None|,|lesz|,|lenni|,|lenni|
True,|lesz|,|lesz|,|lesz|,|lesz|,|lesz|
False,|lesz|,|None|,|lesz|,|lenne|,|lenne|
False,|lesz|,|None|,|lesz|,|lenne|,|lenne|
True,|lesz|,|lesz|,|lesz|,|lesznek|,|lesznek|
True,|lesz|,|lesz|,|lesz|,|lesznek|,|lesznek|
True,|lesz|,|lesz|,|lesz|,|legyenek|,|legyenek|
True,|lesz|,|lesz|,|lesz|,|legyenek|,|legyenek|
True,|lesz|,|lesz|,|lesz|,|lesz|,|lesz|
False,|lesz|,|None|,|lesz|,|lenni|,|lenni|
True,|lesz|,|lesz|,|lesz|,|lesz|,|lesz|
True,|lesz|,|lesz|,|lesz|,|lesz|,|lesz|
False,|lesz|,|None|,|lesz|,|lenni|,|lenni|
False,|lesz|,|None|,|lesz|,|lenne|,|lenne|
